hash    	name                                                        	batch                         	cracked   	status   	pr
8069a433	LoLCastActionKeybind                                        	pre-ledger-backlog            	2026-07-20	pending  	-
be07ec3f	LoLCursorContextAwareKeybind                                	pre-ledger-backlog            	2026-07-20	pending  	-
d8a0b4e6	LoLModesEventChoiceViewController                           	pre-ledger-backlog            	2026-07-20	pending  	-
2e181f68	LoLReconModeKeybind                                         	pre-ledger-backlog            	2026-07-20	pending  	-
080929fe	LoLSpellSlotKeybind                                         	pre-ledger-backlog            	2026-07-20	pending  	-
51f3b0ef	LoLSpellSlotLevelUpKeybind                                  	pre-ledger-backlog            	2026-07-20	pending  	-
a9d20c63	MapGet                                                      	pre-ledger-backlog            	2026-07-20	pending  	-
fa8824c0	MapLightRegions                                             	pre-ledger-backlog            	2026-07-20	pending  	-
b7fb3452	MapPlaceableTemplate                                        	pre-ledger-backlog            	2026-07-20	pending  	-
75c07b27	MeshEntity                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
92a92fea	MonarchDialogUiViewController                               	pre-ledger-backlog            	2026-07-20	local    	-
562bed30	MonarchIcon                                                 	pre-ledger-backlog            	2026-07-20	local    	-
f43c1115	MonarchInteractKeybind                                      	pre-ledger-backlog            	2026-07-20	local    	-
fe318069	MonarchPlayerInventoryViewController                        	pre-ledger-backlog            	2026-07-20	local    	-
c6c4421c	MonarchProperties                                           	pre-ledger-backlog            	2026-07-20	local    	-
a34d485b	MonarchSpellSlotKeybind                                     	pre-ledger-backlog            	2026-07-20	local    	-
677514d3	MonarchTag                                                  	pre-ledger-backlog            	2026-07-20	local    	-
df799a6e	MovingSituations                                            	pre-ledger-backlog            	2026-07-20	pending  	-
661f15c3	MultiTeam                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
38a3503e	NetworkingGeComponent                                       	pre-ledger-backlog            	2026-07-20	pending  	-
429a2180	NeutralCampDefinition                                       	pre-ledger-backlog            	2026-07-20	pending  	-
1f69daba	NeutralCampEntity                                           	pre-ledger-backlog            	2026-07-20	pending  	-
c84caf96	OnPrimaryInputSingleClickEvent                              	pre-ledger-backlog            	2026-07-20	pending  	-
4aa8446e	ParametricSequence                                          	pre-ledger-backlog            	2026-07-20	pending  	-
75d39a3b	PlayAnimation                                               	pre-ledger-backlog            	2026-07-20	pending  	-
21570b18	RegionDefinition                                            	pre-ledger-backlog            	2026-07-20	pending  	-
5c1a1dc2	RegionEntity                                                	pre-ledger-backlog            	2026-07-20	pending  	-
851b8dc5	RequireVar                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
968ff282	SegmentGet                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
beb93e84	SeqInputCombinedPosition                                    	pre-ledger-backlog            	2026-07-20	pending  	-
3d31478a	SequencerHelper                                             	pre-ledger-backlog            	2026-07-20	pending  	-
b4f63f45	SfxDefinition                                               	pre-ledger-backlog            	2026-07-20	pending  	-
b6fc7767	SfxEntity                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
3a3f4a2b	SfxGeComponent                                              	pre-ledger-backlog            	2026-07-20	pending  	-
d2d78714	SfxHelper                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
f775806c	ShopDefinition                                              	pre-ledger-backlog            	2026-07-20	pending  	-
e6bb215e	ShopEntity                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
a4eb8410	ShuffleCustomTableBlock                                     	pre-ledger-backlog            	2026-07-20	pending  	-
549452c3	SpellVars                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
892fb608	StoreFilter                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
decc6c99	StrawberryInputUpdater                                      	pre-ledger-backlog            	2026-07-20	pending  	-
30f0ba27	StringCast                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
