hash    	name                                                        	batch                         	cracked   	status   	pr
4cf24bd7	AllowInactive                                               	pre-ledger-backlog            	2026-07-20	pending  	-
302afbcd	AllyIndex                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
3360db7e	AlphaCutoff                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
e630d0a5	AlphaOnly                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
e9faf118	AlphaSliceRange                                             	pre-ledger-backlog            	2026-07-20	pending  	-
2ff43743	AlternativeTooltip                                          	pre-ledger-backlog            	2026-07-20	pending  	-
696972ed	AnchorStrawberry                                            	pre-ledger-backlog            	2026-07-20	pending  	-
1ccc919a	AnimatedTitle                                               	pre-ledger-backlog            	2026-07-20	pending  	-
25fdb38f	AnimationConfig                                             	pre-ledger-backlog            	2026-07-20	pending  	-
a7cdb46f	AnonymousTra                                                	pre-ledger-backlog            	2026-07-20	pending  	-
f359eded	ArcElement                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
84542686	Arrow                                                       	pre-ledger-backlog            	2026-07-20	pending  	-
372ea7c1	AssociatedTrait                                             	pre-ledger-backlog            	2026-07-20	pending  	-
d631c93e	AtakhanIcon                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
47dac7e3	AtakhanScore                                                	pre-ledger-backlog            	2026-07-20	pending  	-
90fce2a4	AtakhanValue                                                	pre-ledger-backlog            	2026-07-20	pending  	-
9ea6766d	AttachTo                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
55001320	AudioBanks                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
9bfe08c0	AugmentList                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
cce2113c	AugmentPillar                                               	pre-ledger-backlog            	2026-07-20	pending  	-
2d96f463	AugmentRarities                                             	pre-ledger-backlog            	2026-07-20	pending  	-
8eb174a9	AutoAttackMode                                              	pre-ledger-backlog            	2026-07-20	pending  	-
f85b5e9b	AutomaticallyStarts                                         	pre-ledger-backlog            	2026-07-20	pending  	-
fd597a5a	AvailableStatus                                             	pre-ledger-backlog            	2026-07-20	pending  	-
a1072a5e	BackgroundPath                                              	pre-ledger-backlog            	2026-07-20	pending  	-
b8e42d01	BackgroundPos                                               	pre-ledger-backlog            	2026-07-20	pending  	-
57e55d3c	BackgroundSpine                                             	pre-ledger-backlog            	2026-07-20	pending  	-
e6dbf566	Backlight                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
7d7eabcb	Backpack                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
ca451de5	BannedAugments                                              	pre-ledger-backlog            	2026-07-20	pending  	-
5d22440e	BannedCharacterRecords                                      	pre-ledger-backlog            	2026-07-20	pending  	-
d47ce07c	BannerFrameData                                             	pre-ledger-backlog            	2026-07-20	pending  	-
02f69cf6	BannerGroup                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
232bdbbe	BannerIcon                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
4397646b	BarracksProperty                                            	pre-ledger-backlog            	2026-07-20	pending  	-
371f336e	BindInfo                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
a1fa32f0	BirthRandomStartFrame                                       	pre-ledger-backlog            	2026-07-20	pending  	-
cc2ddcc0	BlendData                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
bceaaa2a	BlockButton                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
c8c453d3	BoardButton                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
7c666488	Boards                                                      	pre-ledger-backlog            	2026-07-20	pending  	-
